,a_permno,PERMNO,DATE,CUSIP,NCUSIP,COMNAM,TICKER,PERMCO,SHRCD,SHRCLS,ISSUNO,EXCHCD,HEXCD,SICCD,HSICCD,HSICMG,HSICIG,NAMEENDT,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PRC,VOL,OPENPRC,ASKHI,BIDLO,BID,OPENPRC1DAY,VOL1DAY,OPENPRC2DAY,VOL2DAY,OPENPRC3DAY,VOL3DAY,OPENPRC4DAY,VOL4DAY
0,66093,66093,20000103,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,47.1875,5791500,48.5625,49.0,46.5,47.0,,,,,,,,
1,66093,66093,20000104,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.25,7173500,47.0625,47.75,43.5,44.25,48.5625,5791500.0,,,,,,
2,66093,66093,20000105,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.9375,9090000,45.0,45.25,44.4375,44.125,47.0625,7173500.0,48.5625,5791500.0,,,,
3,66093,66093,20000106,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,43.75,7154299,44.5625,45.0,43.125,43.5,45.0,9090000.0,47.0625,7173500.0,48.5625,5791500.0,,
4,66093,66093,20000107,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.125,5883699,44.5625,44.75,43.375,43.75,44.5625,7154299.0,45.0,9090000.0,47.0625,7173500.0,48.5625,5791500.0
5,66093,66093,20000110,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.75,7118699,44.75,45.0,44.25,44.0,44.5625,5883699.0,44.5625,7154299.0,45.0,9090000.0,47.0625,7173500.0
6,66093,66093,20000111,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,44.125,6472799,44.6875,44.9375,43.8125,43.75,44.75,7118699.0,44.5625,5883699.0,44.5625,7154299.0,45.0,9090000.0
7,66093,66093,20000112,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.8125,8920000,43.5,43.5625,41.5,41.625,44.6875,6472799.0,44.75,7118699.0,44.5625,5883699.0,44.5625,7154299.0
8,66093,66093,20000113,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,40.8125,8250000,42.375,42.9375,40.75,40.5,43.5,8920000.0,44.6875,6472799.0,44.75,7118699.0,44.5625,5883699.0
9,66093,66093,20000114,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.9375,9888199,41.25,41.9375,40.0,41.625,42.375,8250000.0,43.5,8920000.0,44.6875,6472799.0,44.75,7118699.0
10,66093,66093,20000118,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.125,9824500,42.125,43.0625,40.875,40.875,41.25,9888199.0,42.375,8250000.0,43.5,8920000.0,44.6875,6472799.0
11,66093,66093,20000119,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,40.5625,10212299,41.0,41.0,40.0,40.625,42.125,9824500.0,41.25,9888199.0,42.375,8250000.0,43.5,8920000.0
12,66093,66093,20000120,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,41.0,10060399,40.8125,41.5625,40.0625,40.5,41.0,10212299.0,42.125,9824500.0,41.25,9888199.0,42.375,8250000.0
13,66093,66093,20000121,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,43.0,15950299,42.875,43.375,42.0,42.5,40.8125,10060399.0,41.0,10212299.0,42.125,9824500.0,41.25,9888199.0
14,66093,66093,20000124,00206R10,78387G10,S B C COMMUNICATIONS INC,SBC,21645,11,,0,1,1,4813,4813,,,,,,N,A,R,42.0,9980399,43.4375,43.5,40.9375,41.0,42.875,15950299.0,40.8125,10060399.0,41.0,10212299.0,42.125,9824500.0
